State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,5000,School Board Member (ISD #270) (Elect 4),0270,9001,Zhiming Zhao,,,NP,0,31,0,0.00,0
MN,,,5000,School Board Member (ISD #270) (Elect 4),0270,9002,Brooke Ann Roper,,,NP,0,31,0,0.00,0
MN,,,5000,School Board Member (ISD #270) (Elect 4),0270,9003,Shannon Andreson,,,NP,0,31,0,0.00,0
MN,,,5000,School Board Member (ISD #270) (Elect 4),0270,9004,Kaj Thompson,,,NP,0,31,0,0.00,0
MN,,,5000,School Board Member (ISD #270) (Elect 4),0270,9901,WRITE-IN,,,WI,0,31,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9001,Langa Oriho,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9002,Heather Starks,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9003,Sandra Johnson,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9004,Nelly Korman,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9005,Ricardo Oliva,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9006,Mia Olson,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9901,WRITE-IN,,,WI,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #273) (Elect 3),0273,9001,Cheryl Barry,,,NP,0,18,0,0.00,0
MN,,,5000,School Board Member (ISD #273) (Elect 3),0273,9002,Elliot Mann,,,NP,0,18,0,0.00,0
MN,,,5000,School Board Member (ISD #273) (Elect 3),0273,9003,Jennifer Huwe,,,NP,0,18,0,0.00,0
MN,,,5000,School Board Member (ISD #273) (Elect 3),0273,9901,WRITE-IN,,,WI,0,18,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #276),0276,9001,YES,,,NP,0,13,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #276),0276,9002,NO,,,NP,0,13,0,0.00,0
